round,train_auc,val_auc,train_loss,val_loss
70,0.9995628670747291,0.9980837928691942,0.04834862134879912,0.04853326060208378
71,0.9995742197169685,0.9981186309698572,0.04739325375373483,0.04768392335361661
72,0.9995813577003773,0.9981207264636329,0.04643843391652883,0.04675365412639938
73,0.999585667124124,0.9981170479834348,0.04568789440191019,0.04599314591486856
74,0.9995922460377988,0.9981506668125715,0.04495045283279542,0.04531669387104006
75,0.999600781154647,0.9981685880374468,0.04416114911354221,0.0445205094977889
76,0.9996113894163059,0.9981923121681628,0.0433424613124322,0.04367692509746662
77,0.9996188998604528,0.9981898901576054,0.04266113922799365,0.04308599552246696
78,0.9996256948078466,0.9981980158790319,0.04199888592370823,0.04241252413758836
79,0.9996293131833229,0.9981884352980215,0.04142782980620906,0.04182521117053394
80,0.9996360876848615,0.9982084396173012,0.04078324488248062,0.04121579056837621
81,0.9996392487871634,0.9982169951836047,0.04026356219046123,0.04069958503232053
82,0.999649509685642,0.9982177350127681,0.03947497205271849,0.03990110593482217
83,0.9996582600789551,0.9982281587510374,0.03890320032377036,0.03938227316162428
84,0.9996633064189223,0.9982207108619172,0.03839541174028335,0.03895108003891742
85,0.9996694632176394,0.998231213129539,0.0379244158595462,0.03857686869705949
86,0.9996789354902742,0.9982688948193889,0.03727805326401461,0.03794770173805327
87,0.999681543256336,0.9982800211887073,0.03690952762183887,0.03757843365331751
88,0.9996867212503021,0.9983034477345084,0.03637375248164527,0.03702886102954987
89,0.9996893809423454,0.9983025446469541,0.03594393856574123,0.03663910491539931
90,0.999695224887024,0.9983067377010676,0.03543423863315397,0.0362141730973309
91,0.9997014288518409,0.9983327598486265,0.0349710772576506,0.03577087031364433
92,0.9997035669041285,0.9983442086016027,0.03464352420190766,0.0354407171096383
93,0.9997072920524044,0.9983634482929761,0.03430721744556649,0.0351367689184768
94,0.9997164663997204,0.9983552853734352,0.03372111393619963,0.03455642215295509
95,0.9997211671073734,0.9983756492744872,0.03337154854919635,0.03421584542675749
96,0.9997270538909867,0.9983965628810069,0.03292232193499064,0.03380929271233206
97,0.9997334686969244,0.9984093342336049,0.03242900170372737,0.03340422292311668
98,0.9997367667540025,0.9984241556156166,0.03213390432952819,0.03313917377408271
99,0.9997407216747464,0.9984343768308188,0.03178314708605638,0.0327946487589762
100,0.9997435860417,0.9984415602000147,0.03149787297778378,0.03245636918549199
101,0.9997519919926692,0.9984461149024624,0.03099733704130364,0.03198430199140755
102,0.9997540000136449,0.9984365632533186,0.03077689921970564,0.0317876729488054
103,0.9997595108747881,0.9984349844000201,0.03036601280302291,0.03134809185011496
104,0.9997627401299407,0.9984549143230711,0.03006533805454316,0.03104822618418407
105,0.9997672253447706,0.9984610995428649,0.02977219128461061,0.03083244379323693
106,0.9997690631999777,0.9984599939322436,0.02952428646376272,0.03059552518024515
107,0.9997724431486558,0.9984815564392028,0.02920247976339826,0.03029918436715349
108,0.9997752470434769,0.9985124184747527,0.02889842175584583,0.03000294555243469
109,0.9997773587000571,0.9985281284783853,0.02863231972592585,0.02975296844502053
110,0.9997807232872991,0.9985284177970526,0.02837121248116432,0.02953760554040758
111,0.9997832001566158,0.998534295099122,0.02817706941468894,0.02936872220572466
112,0.9997867341523724,0.9985536422517146,0.02781827067951215,0.02900221640884143
113,0.9997908313286697,0.9985579634326665,0.02752395696592869,0.02877066168044711
114,0.999799057485928,0.998576178109333,0.02704010155588376,0.02830861940028372
115,0.9998072141921861,0.9985886704760732,0.02655160614050724,0.02783733265726513
116,0.9998113796295133,0.9985921423000804,0.02629505318335584,0.0275301669559039
117,0.999817385842884,0.998594584976257,0.02586124133334272,0.02715316732065763
118,0.999819846809869,0.9986040250310575,0.02558242915205714,0.026884501033275
119,0.9998281907741979,0.998622557958258,0.02510113988116978,0.02646976868832558
120,0.9998355323507259,0.9986218925253233,0.02467253787045957,0.02617133776673064
121,0.9998383272666792,0.9986244674614619,0.02443235249877547,0.02596815961256491
122,0.9998415774004036,0.998631762425001,0.02420419145043366,0.02573524407564002
123,0.9998446435214311,0.9986259099216745,0.0239913120581731,0.02551890029824747
124,0.9998483765667833,0.9986268088761049,0.02368908633795249,0.02521889413241532
125,0.9998508599268477,0.9986299107855304,0.02351756835372079,0.02498284365854721
126,0.9998524593552566,0.9986308345387038,0.02336962748915332,0.02485430510424768
127,0.9998567854385889,0.9986460403012306,0.02312766793801805,0.02453415550406439
128,0.9998573921071393,0.9986479973353586,0.02308831912461009,0.02452440987634703
129,0.9998596777157577,0.998653531588151,0.02291144174245975,0.02436736568361829
